site,fiscal_year,week_sum,incidents_ytd,fclm_hours,process_path,incidents_weekly,avg_hours_per_path,avg_incident_per_path,fclm_hours_4wk_std,incident_4wk_std,incidents_per_1k_hours,hours_deviation,deviation_pct,process_path_rank,top_3_flag_path,incident_drop,incident_spike,hours_drop,hours_spike
teb3,2025,1,0,85.33,whd grading support,0,85.33,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
teb3,2025,2,1,2007.77,ic-qa-cs,1,1650.4850000000001,0.5,357.28499999999946,0.5,0.49806501740737236,357.28499999999985,0.21647273377219414,1,1,0,1,0,1
teb3,2025,2,0,414.26,,0,413.275,0.0,0.9850000000134025,0.0,0.0,0.9850000000000136,0.0023834008831891927,2,1,0,0,0,1
teb3,2025,2,0,2850.89,admin/hr/it,0,2517.755,0.0,333.1349999999978,0.0,0.0,333.13499999999976,0.13231430381431067,2,1,0,0,0,1
teb3,2025,2,0,128.27,box on demand,0,135.41000000000003,0.0,7.139999999999658,0.0,0.0,-7.140000000000015,-0.052728749723063385,2,1,0,0,1,0
teb3,2025,2,0,58.14,c-returns processed,0,108.85,0.0,50.71000000000002,0.0,0.0,-50.709999999999994,-0.46587046394120346,2,1,0,0,1,0
teb3,2025,2,0,17.26,c-returns support,0,61.1,0.0,43.84,0.0,0.0,-43.84,-0.7175122749590835,2,1,0,0,1,0
teb3,2025,2,0,1355.52,container build,0,1357.1599999999999,0.0,1.640000000119141,0.0,0.0,-1.6399999999998727,-0.0012084057885583667,2,1,0,0,1,0
teb3,2025,2,0,286.51,container load,0,283.28999999999996,0.0,3.2200000000032936,0.0,0.0,3.2200000000000273,0.011366444279713466,2,1,0,0,0,1
teb3,2025,2,0,247.58,container move,0,239.79000000000002,0.0,7.789999999999442,0.0,0.0,7.789999999999992,0.032486759247675016,2,1,0,0,0,1
teb3,2025,2,0,44.34,cubiscan,0,39.95,0.0,4.38999999999999,0.0,0.0,4.390000000000001,0.10988735919899875,2,1,0,0,0,1
teb3,2025,2,0,1.8,custom packaging,0,1.585,0.0,0.2150000000000004,0.0,0.0,0.21500000000000008,0.13564668769716093,2,1,0,0,0,1
teb3,2025,2,0,1163.73,each transfer in,0,936.76,0.0,226.96999999999997,0.0,0.0,226.97000000000003,0.24229258294547165,2,1,0,0,0,1
teb3,2025,2,0,1106.8,each-receive,0,950.78,0.0,156.0200000000004,0.0,0.0,156.01999999999998,0.1640968467994699,2,1,0,0,0,1
teb3,2025,2,0,1488.97,fluid load,0,1398.25,0.0,90.7200000000002,0.0,0.0,90.72000000000003,0.06488110137672091,2,1,0,0,0,1
teb3,2025,2,0,7.61,gift-wrap,0,6.955,0.0,0.6550000000000022,0.0,0.0,0.6550000000000002,0.09417685118619702,2,1,0,0,0,1
teb3,2025,2,0,430.44,ib problem solve,0,385.61,0.0,44.829999999999536,0.0,0.0,44.829999999999984,0.11625735847099396,2,1,0,0,0,1
teb3,2025,2,0,151.72,inbound lead/pa,0,147.135,0.0,4.585000000000464,0.0,0.0,4.585000000000008,0.031161858157474485,2,1,0,0,0,1
teb3,2025,2,0,84.6,lp-receive,0,71.09,0.0,13.509999999999957,0.0,0.0,13.509999999999991,0.19004079336052876,2,1,0,0,0,1
teb3,2025,2,0,152.28,ob problem solve,0,128.3,0.0,23.979999999999958,0.0,0.0,23.97999999999999,0.18690568978955563,2,1,0,0,0,1
teb3,2025,2,0,240.84,on boarding,0,121.645,0.0,119.19500000000001,0.0,0.0,119.19500000000001,0.9798594270212505,2,1,0,0,0,1
teb3,2025,2,0,367.01,outbound lead/pa,0,316.11,0.0,50.899999999999835,0.0,0.0,50.89999999999998,0.1610198981367245,2,1,0,0,0,1
teb3,2025,2,0,500.48,pack multis,0,461.69,0.0,38.790000000000305,0.0,0.0,38.79000000000002,0.08401741428231069,2,1,0,0,0,1
teb3,2025,2,0,1763.55,pack singles,0,1770.395,0.0,6.845000000017579,0.0,0.0,-6.845000000000027,-0.003866368804701791,2,1,0,0,1,0
teb3,2025,2,0,689.07,pack support,0,629.385,0.0,59.68500000000069,0.0,0.0,59.68500000000006,0.09483066803308,2,1,0,0,0,1
teb3,2025,2,0,206.77,pallet transfer in,0,182.215,0.0,24.554999999999957,0.0,0.0,24.555000000000007,0.13475838981423047,2,1,0,0,0,1
teb3,2025,2,0,92.89,pallet-receive,0,77.185,0.0,15.705000000000007,0.0,0.0,15.704999999999998,0.20347217723650965,2,1,0,0,0,1
teb3,2025,2,0,5184.92,pick,0,5030.96,0.0,153.9600000000023,0.0,0.0,153.96000000000004,0.030602509262645704,2,1,0,0,0,1
teb3,2025,2,0,987.27,pick support,0,796.76,0.0,190.51000000000002,0.0,0.0,190.51,0.23910587880917716,2,1,0,0,0,1
teb3,2025,2,0,86.53,prep recorder,0,97.745,0.0,11.214999999999982,0.0,0.0,-11.215000000000003,-0.11473732671747919,2,1,0,0,1,0
teb3,2025,2,0,527.13,receive dock,0,504.025,0.0,23.105000000001294,0.0,0.0,23.105000000000018,0.04584098011011362,2,1,0,0,0,1
teb3,2025,2,0,442.83,receive-support,0,425.755,0.0,17.075000000000237,0.0,0.0,17.07499999999999,0.04010522483587976,2,1,0,0,0,1
teb3,2025,2,0,1509.55,rsr support,0,1259.58,0.0,249.96999999999974,0.0,0.0,249.97000000000003,0.19845504056907862,2,1,0,0,0,1
teb3,2025,2,0,84.21,ship dock lead/pa,0,105.84,0.0,21.629999999999974,0.0,0.0,-21.63000000000001,-0.20436507936507944,2,1,0,0,1,0
teb3,2025,2,0,108.35,ship dock support,0,102.74,0.0,5.610000000000077,0.0,0.0,5.609999999999999,0.05460385438972162,2,1,0,0,0,1
teb3,2025,2,0,350.51,sort-batch,0,325.79999999999995,0.0,24.71000000000044,0.0,0.0,24.710000000000036,0.07584407612031933,2,1,0,0,0,1
teb3,2025,2,0,2516.51,stow to prime,0,2039.515,0.0,476.99499999999995,0.0,0.0,476.9950000000001,0.2338766814659368,2,1,0,0,0,1
