"Metric 3","Incidents","incident_id (CUSTOM)","RI","recordable (CUSTOM)","MSD RI","%MSD RI","DART","dart (CUSTOM)","LTI","LTI"
"D",148966,0.837273350644679,5,0.00017503325631870056,3,0.00016499835001649983,3,0.00011384767181511138,0,0
"C",28952,0.162726649355321,28561,0.9998249667436813,18179,0.9998350016499835,26348,0.9998861523281849,1,5746
