"Metric 3","Incidents","incident_id (CUSTOM)","RI","recordable (CUSTOM)","MSD RI","%MSD RI","DART","dart (CUSTOM)","LTI","LTI"
"D",150,0.7537688442211056,0,0,0,0,0,0,,0
"C",49,0.24623115577889448,49,1,28,1,46,1,,0
